awareness_persist_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
10,detection,0,29,7,0.2413793103448276,7,0,0.0,7,62,8.428571428582444,0.14285714285722,0.981944444444448,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5345308780670166
10,detection,1,29,5,0.1724137931034483,5,0,0.0,5,44,9.420000000024356,0.08000000000010914,0.6958333333333395,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.5508291721343994
10,detection,2,29,7,0.2413793103448276,7,0,0.0,7,62,8.185714285729091,0.2857142857142532,0.981944444444448,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.6621625423431396
10,detection,3,29,5,0.1724137931034483,5,0,0.0,5,46,11.540000000024884,0.06000000000003638,0.6972222222222284,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.744868755340576
10,detection,4,29,6,0.20689655172413793,6,2,0.3333333333333333,6,56,10.250000000010138,0.3500000000004964,0.8458333333333415,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.7064008712768555
10,detection,5,29,10,0.3448275862068966,10,0,0.0,10,92,10.89000000000624,0.400000000000864,1.3972222222222022,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.6211774349212646
10,detection,6,29,4,0.13793103448275862,4,0,0.0,4,36,10.375000000019753,0.4500000000008697,0.5555555555555597,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5446388721466064
10,detection,7,29,8,0.27586206896551724,8,1,0.125,8,72,9.225000000013612,0.3375000000005919,1.1166666666666627,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.6844191551208496
10,detection,8,29,5,0.1724137931034483,5,1,0.2,5,48,7.580000000004475,0.13999999999991813,0.6986111111111173,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.4934074878692627
10,detection,9,29,6,0.20689655172413793,6,0,0.0,6,57,8.700000000023138,0.43333333333467766,0.8333333333333414,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.5025722980499268
10,detection,10,29,4,0.13793103448275862,4,1,0.25,4,36,7.225000000006048,0.2750000000003183,0.5583333333333375,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.6295242309570312
10,detection,11,29,4,0.13793103448275862,4,1,0.25,4,37,9.450000000003485,0.525000000000098,0.5597222222222265,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.536161184310913
10,detection,12,29,5,0.1724137931034483,5,0,0.0,5,46,10.68000000001311,0.20000000000013074,0.6958333333333395,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.635955333709717
10,detection,13,29,7,0.2413793103448276,6,0,0.0,7,63,9.45714285714221,0.25714285714280194,0.9902777777777809,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.677194118499756
10,detection,14,29,7,0.2413793103448276,7,1,0.14285714285714285,7,66,9.157142857147392,0.21428571428571427,0.9875000000000033,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.507918119430542
10,aware,0,29,7,0.2413793103448276,7,0,0.0,7,62,8.428571428582444,0.14285714285722,0.981944444444448,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.7104156017303467
10,aware,1,29,5,0.1724137931034483,5,0,0.0,5,44,9.420000000024356,0.08000000000010914,0.6958333333333395,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6211135387420654
10,aware,2,29,7,0.2413793103448276,7,0,0.0,7,62,8.185714285729091,0.2857142857142532,0.981944444444448,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.5726511478424072
10,aware,3,29,5,0.1724137931034483,5,0,0.0,5,46,11.540000000024884,0.06000000000003638,0.6972222222222284,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.644630193710327
10,aware,4,29,6,0.20689655172413793,6,2,0.3333333333333333,6,56,10.250000000010138,0.3500000000004964,0.8458333333333415,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.579871654510498
10,aware,5,29,10,0.3448275862068966,10,0,0.0,10,92,10.89000000000624,0.400000000000864,1.3972222222222022,100.0,100.0,0.0,0.0,29,10,10,10,0,19,3.6479744911193848
10,aware,6,29,4,0.13793103448275862,4,0,0.0,4,36,10.375000000019753,0.4500000000008697,0.5555555555555597,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.561748743057251
10,aware,7,29,8,0.27586206896551724,8,1,0.125,8,72,9.225000000013612,0.3375000000005919,1.1166666666666627,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.6297712326049805
10,aware,8,29,5,0.1724137931034483,5,1,0.2,5,48,7.580000000004475,0.13999999999991813,0.6986111111111173,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.573314905166626
10,aware,9,29,6,0.20689655172413793,6,0,0.0,6,57,8.700000000023138,0.43333333333467766,0.8333333333333414,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.2430737018585205
10,aware,10,29,4,0.13793103448275862,4,1,0.25,4,36,7.225000000006048,0.2750000000003183,0.5583333333333375,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.347827196121216
10,aware,11,29,4,0.13793103448275862,4,1,0.25,4,37,9.450000000003485,0.525000000000098,0.5597222222222265,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.339651346206665
10,aware,12,29,5,0.1724137931034483,5,0,0.0,5,46,10.68000000001311,0.20000000000013074,0.6958333333333395,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.2270586490631104
10,aware,13,29,7,0.2413793103448276,6,0,0.0,7,63,9.45714285714221,0.25714285714280194,0.9902777777777809,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.1677393913269043
10,aware,14,29,7,0.2413793103448276,7,1,0.14285714285714285,7,66,9.157142857147392,0.21428571428571427,0.9875000000000033,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.1676340103149414
10,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.2102513313293457
10,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.06227707862854
10,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1477973461151123
10,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.1173689365386963
10,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.2116098403930664
10,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.146336317062378
10,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1414670944213867
10,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.115049362182617
10,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.1457157135009766
10,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.204378843307495
10,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.054072856903076
10,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.1489410400390625
10,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.169238328933716
10,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.0731632709503174
10,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.045668363571167
