mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
off,0,59,59,1.0,36,8,0.2222222222222222,59,0,2.8050847457696038,0.3271186440686278,0.0,29.200000000000145,59,59,48,37,13,25,9.012183666229248
off,1,59,58,0.9830508474576272,34,4,0.11764705882352941,58,0,2.177586206901687,0.2793103448282412,0.0,10.699999999999978,59,59,46,35,6,25,10.313533782958984
off,2,59,58,0.9830508474576272,33,2,0.06060606060606061,58,0,2.013793103454173,0.2534482758625735,0.0,20.000000000000014,59,59,43,34,9,28,10.773452520370483
off,3,59,59,1.0,37,5,0.13513513513513514,59,0,2.691525423733414,0.3186440677972732,0.0,16.19999999999996,59,59,47,38,7,22,9.946941137313843
off,4,59,59,1.0,35,4,0.11428571428571428,59,0,1.9203389830549895,0.2491525423734332,0.0,9.99999999999998,59,59,50,35,5,24,9.629791498184204
off,5,59,58,0.9830508474576272,35,11,0.3142857142857143,58,0,2.80000000000595,0.24827586206963106,0.0,19.400000000000006,59,59,48,38,13,24,8.545994997024536
off,6,59,58,0.9830508474576272,35,5,0.14285714285714285,58,0,2.456896551730512,0.28793103448359786,0.0,7.999999999999988,59,59,45,36,4,24,8.960994243621826
off,7,59,59,1.0,32,6,0.1875,59,0,2.159322033903678,0.27118644067857983,0.0,12.79999999999997,59,59,37,33,5,28,8.702466487884521
off,8,59,58,0.9830508474576272,38,3,0.07894736842105263,58,0,2.1672413793155525,0.2879310344835013,0.0,28.400000000000134,59,59,48,44,11,22,8.93799090385437
off,9,59,59,1.0,41,6,0.14634146341463414,59,0,1.8186440678004845,0.3661016949160384,0.0,25.500000000000092,59,59,49,44,9,18,9.308629274368286
off,10,59,58,0.9830508474576272,35,7,0.2,58,0,2.098275862073761,0.30000000000073856,0.0,8.999999999999984,59,59,46,36,4,26,9.919637203216553
off,11,59,59,1.0,36,4,0.1111111111111111,59,0,2.654237288142325,0.30677966101772847,0.0,17.299999999999976,59,59,45,38,7,24,10.005799293518066
off,12,59,59,1.0,35,13,0.37142857142857144,59,0,2.274576271190914,0.24745762711923408,0.0,24.60000000000008,59,59,49,35,10,26,9.191691875457764
off,13,59,58,0.9830508474576272,36,3,0.08333333333333333,58,0,2.7431034482820937,0.19827586206936734,0.0,8.599999999999985,59,59,46,37,6,26,7.078960180282593
off,14,59,58,0.9830508474576272,30,5,0.16666666666666666,58,0,2.0517241379359445,0.2655172413800166,0.0,27.600000000000122,59,59,44,34,11,29,6.660065650939941
