detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.3,detection,0,29,6,0.20689655172413793,6,0,0.0,6,61,11.250000000014202,0.7833333333338336,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.5240914821624756
0.3,detection,1,29,4,0.13793103448275862,5,1,0.2,4,42,8.950000000002092,2.099999999998545,1.6708333333332976,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.467602491378784
0.3,detection,2,29,5,0.1724137931034483,6,1,0.16666666666666666,5,53,7.72000000001317,0.6999999999997272,2.086111111111052,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.668403148651123
0.3,detection,3,29,3,0.10344827586206896,4,0,0.0,3,31,13.266666666664301,4.966666666663059,1.252777777777766,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.4984779357910156
0.3,detection,4,29,8,0.27586206896551724,8,2,0.25,8,78,11.487500000014748,3.0875000000069264,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.528803825378418
0.3,detection,5,29,2,0.06896551724137931,4,2,0.5,2,20,9.750000000006821,4.550000000000182,0.8347222222222304,100.0,100.0,0.0,3.700000000000002,29,4,4,5,2,25,3.5591745376586914
0.3,detection,6,29,7,0.2413793103448276,8,0,0.0,7,69,10.371428571440138,2.285714285715098,2.920833333333227,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.659820795059204
0.3,detection,7,29,9,0.3103448275862069,9,0,0.0,9,90,10.577777777795824,1.5222222222227484,3.7527777777776796,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.548717737197876
0.3,detection,8,29,5,0.1724137931034483,5,1,0.2,5,50,8.520000000004007,1.9800000000029967,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.542456865310669
0.3,detection,9,29,8,0.27586206896551724,7,2,0.2857142857142857,8,81,11.975000000016262,3.625000000007841,3.33749999999987,100.0,100.0,0.0,6.199999999999994,29,8,8,8,2,23,3.6039769649505615
0.3,detection,10,29,3,0.10344827586206896,3,1,0.3333333333333333,3,30,9.133333333337154,1.333333333335607,1.252777777777766,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.5557267665863037
0.3,detection,11,29,3,0.10344827586206896,4,0,0.0,3,30,12.166666666657818,1.5333333333323083,1.252777777777766,100.0,100.0,0.0,3.0000000000000013,29,5,4,5,1,25,3.7510719299316406
0.3,detection,12,29,6,0.20689655172413793,7,0,0.0,6,61,12.199999999995276,3.8333333333327126,2.504166666666584,100.0,100.0,0.0,3.700000000000002,29,9,7,7,2,23,3.5513808727264404
0.3,detection,13,29,8,0.27586206896551724,7,1,0.14285714285714285,8,82,9.750000000010598,2.6625000000035897,3.33749999999987,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.6429812908172607
0.3,detection,14,29,7,0.2413793103448276,7,2,0.2857142857142857,7,68,11.071428571446761,2.97142857143308,2.920833333333227,100.0,100.0,0.0,0.1,29,7,7,7,1,22,3.6624438762664795
0.3,aware,0,29,6,0.20689655172413793,6,0,0.0,6,61,11.250000000014202,0.7833333333338336,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.7276124954223633
0.3,aware,1,29,4,0.13793103448275862,5,1,0.2,4,42,8.950000000002092,2.099999999998545,1.6708333333332976,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.576307773590088
0.3,aware,2,29,5,0.1724137931034483,6,1,0.16666666666666666,5,53,7.72000000001317,0.6999999999997272,2.086111111111052,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.7674648761749268
0.3,aware,3,29,3,0.10344827586206896,4,0,0.0,3,31,13.266666666664301,4.966666666663059,1.252777777777766,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.711336135864258
0.3,aware,4,29,8,0.27586206896551724,8,2,0.25,8,78,11.487500000014748,3.0875000000069264,3.3388888888887585,100.0,100.0,0.0,0.0,29,9,8,8,0,21,3.6328277587890625
0.3,aware,5,29,2,0.06896551724137931,4,2,0.5,2,20,9.750000000006821,4.550000000000182,0.8347222222222304,100.0,100.0,0.0,3.700000000000002,29,4,4,5,2,25,3.706324577331543
0.3,aware,6,29,7,0.2413793103448276,8,0,0.0,7,69,10.371428571440138,2.285714285715098,2.920833333333227,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.712012529373169
0.3,aware,7,29,9,0.3103448275862069,9,0,0.0,9,90,10.577777777795824,1.5222222222227484,3.7527777777776796,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.6239516735076904
0.3,aware,8,29,5,0.1724137931034483,5,1,0.2,5,50,8.520000000004007,1.9800000000029967,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.7334134578704834
0.3,aware,9,29,8,0.27586206896551724,7,2,0.2857142857142857,8,81,11.975000000016262,3.625000000007841,3.33749999999987,100.0,100.0,0.0,6.199999999999994,29,8,8,8,2,23,3.4592623710632324
0.3,aware,10,29,3,0.10344827586206896,3,1,0.3333333333333333,3,30,9.133333333337154,1.333333333335607,1.252777777777766,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.3266396522521973
0.3,aware,11,29,3,0.10344827586206896,4,0,0.0,3,30,12.166666666657818,1.5333333333323083,1.252777777777766,100.0,100.0,0.0,3.0000000000000013,29,5,4,5,1,25,3.3776726722717285
0.3,aware,12,29,6,0.20689655172413793,7,0,0.0,6,61,12.199999999995276,3.8333333333327126,2.504166666666584,100.0,100.0,0.0,3.700000000000002,29,9,7,7,2,23,3.387770652770996
0.3,aware,13,29,8,0.27586206896551724,7,1,0.14285714285714285,8,82,9.750000000010598,2.6625000000035897,3.33749999999987,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.5040392875671387
0.3,aware,14,29,7,0.2413793103448276,7,2,0.2857142857142857,7,68,11.071428571446761,2.97142857143308,2.920833333333227,100.0,100.0,0.0,0.1,29,7,7,7,1,22,3.293342351913452
0.3,control,0,29,0,0.0,5,2,0.4,0,0,0.0,0.0,0.0,100.0,100.0,0.0,1.5000000000000002,29,9,5,5,1,25,2.1005678176879883
0.3,control,1,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.1242058277130127
0.3,control,2,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,3.4000000000000017,29,4,4,5,1,25,2.1697583198547363
0.3,control,3,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.2913320064544678
0.3,control,4,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.345593214035034
0.3,control,5,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2512948513031006
0.3,control,6,29,0,0.0,7,2,0.2857142857142857,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,7,7,7,0,22,2.1848926544189453
0.3,control,7,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,7.499999999999989,29,10,9,10,3,22,2.294304132461548
0.3,control,8,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.333538293838501
0.3,control,9,29,0,0.0,6,1,0.16666666666666666,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.6,29,7,6,6,1,23,2.3321280479431152
0.3,control,10,29,0,0.0,4,1,0.25,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,4,4,4,0,25,2.372246026992798
0.3,control,11,29,0,0.0,5,1,0.2,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,5,5,0,24,2.3262836933135986
0.3,control,12,29,0,0.0,4,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,5,4,4,0,25,2.269022226333618
0.3,control,13,29,0,0.0,10,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,11,10,10,0,19,2.2114627361297607
0.3,control,14,29,0,0.0,3,0,0.0,0,0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,29,3,3,3,0,26,2.2943484783172607
0.5,detection,0,29,6,0.20689655172413793,6,0,0.0,6,61,11.250000000014202,0.7833333333338336,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.42268967628479
0.5,detection,1,29,8,0.27586206896551724,8,0,0.0,8,83,8.937500000019611,1.3500000000020123,3.33749999999987,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.505218744277954
