driver_reaction_s,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.5,detection,0,29,5,0.1724137931034483,5,0,0.0,5,51,8.48000000001162,0.16000000000005343,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.4000613689422607
0.5,detection,1,29,4,0.13793103448275862,3,0,0.0,4,40,7.350000000009572,0.275000000000432,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.3614089488983154
0.5,detection,2,29,8,0.27586206896551724,8,0,0.0,8,82,9.80000000000868,0.30000000000026716,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.4891011714935303
0.5,detection,3,29,9,0.3103448275862069,9,2,0.2222222222222222,9,89,9.677777777798887,0.188888888889475,3.754166666666569,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.503580093383789
0.5,detection,4,29,11,0.3793103448275862,11,0,0.0,11,107,9.000000000016774,0.490909090909833,4.588888888888981,100.0,100.0,0.0,0.0,29,11,11,11,0,18,3.501187562942505
0.5,detection,5,29,4,0.13793103448275862,4,0,0.0,4,40,10.699999999996521,0.2749999999997499,1.6708333333332976,100.0,100.0,0.0,0.0,29,6,4,4,0,25,3.457134246826172
0.5,detection,6,29,6,0.20689655172413793,6,0,0.0,6,59,9.06666666668076,0.2666666666670494,2.5013888888888065,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.4723730087280273
0.5,detection,7,29,5,0.1724137931034483,5,0,0.0,5,51,8.080000000001798,0.6400000000003786,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.5317931175231934
0.5,detection,8,29,6,0.20689655172413793,6,1,0.16666666666666666,6,61,8.450000000019145,0.13333333333347733,2.5013888888888065,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.590315341949463
0.5,detection,9,29,9,0.3103448275862069,9,1,0.1111111111111111,9,90,10.188888888899843,0.2888888888894441,3.7527777777776796,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.5926761627197266
0.5,detection,10,29,6,0.20689655172413793,5,1,0.2,6,59,8.450000000011945,0.23333333333350006,2.504166666666584,100.0,100.0,0.0,0.0,29,7,5,5,0,24,3.631338119506836
0.5,detection,11,29,6,0.20689655172413793,6,0,0.0,6,61,9.51666666668092,0.28333333333338356,2.5027777777776947,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.516770601272583
0.5,detection,12,29,3,0.10344827586206896,3,0,0.0,3,29,8.700000000006819,0.10000000000024063,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,3.5831878185272217
0.5,detection,13,29,9,0.3103448275862069,9,1,0.1111111111111111,9,90,10.033333333341814,0.17777777777790663,3.7569444444443474,100.0,100.0,0.0,0.0,29,10,9,9,0,20,3.645094871520996
0.5,detection,14,29,7,0.2413793103448276,7,1,0.14285714285714285,7,69,9.71428571431157,0.24285714285802637,2.919444444444338,100.0,100.0,0.0,0.0,29,8,7,7,0,22,3.689171075820923
0.5,aware,0,29,5,0.1724137931034483,5,0,0.0,5,51,8.48000000001162,0.16000000000005343,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.6759073734283447
0.5,aware,1,29,4,0.13793103448275862,3,0,0.0,4,40,7.350000000009572,0.275000000000432,1.669444444444409,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.7639126777648926
0.5,aware,2,29,8,0.27586206896551724,8,0,0.0,8,82,9.80000000000868,0.30000000000026716,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.9425816535949707
0.5,aware,3,29,9,0.3103448275862069,9,2,0.2222222222222222,9,89,9.677777777798887,0.188888888889475,3.754166666666569,100.0,100.0,0.0,0.0,29,9,9,9,0,20,3.823455572128296
0.5,aware,4,29,11,0.3793103448275862,11,0,0.0,11,107,9.000000000016774,0.490909090909833,4.588888888888981,100.0,100.0,0.0,0.0,29,11,11,11,0,18,3.7942066192626953
