hesitate_dwell_max,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
1.0,detection,0,29,6,0.20689655172413793,6,0,0.0,6,63,9.86666666667729,0.1666666666668893,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.4629061222076416
1.0,detection,1,29,5,0.1724137931034483,5,0,0.0,5,50,8.359999999997035,0.3400000000000546,2.08888888888883,100.0,100.0,0.0,0.0,29,5,5,5,0,24,3.450359344482422
1.0,detection,2,29,11,0.3793103448275862,11,0,0.0,11,112,9.372727272734283,0.38181818181824795,4.59166666666676,100.0,100.0,0.0,0.0,29,11,11,11,0,18,3.684915065765381
1.0,detection,3,29,3,0.10344827586206896,3,0,0.0,3,31,8.366666666669062,0.16666666666651508,1.252777777777766,100.0,100.0,0.0,0.0,29,4,3,3,0,26,3.4427571296691895
1.0,detection,4,29,5,0.1724137931034483,4,0,0.0,5,49,9.900000000012255,0.12000000000014097,2.086111111111052,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.558461904525757
1.0,detection,5,29,7,0.2413793103448276,7,0,0.0,7,70,8.21428571429585,0.2857142857142857,2.920833333333227,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.562495231628418
1.0,detection,6,29,7,0.2413793103448276,6,0,0.0,7,68,7.9142857142902585,0.5428571428571688,2.9222222222221155,100.0,100.0,0.0,0.0,29,8,6,6,0,23,3.609626293182373
1.0,detection,7,29,8,0.27586206896551724,8,0,0.0,8,82,8.42500000000469,0.28750000000009734,3.3388888888887585,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.5403029918670654
1.0,detection,8,29,3,0.10344827586206896,2,0,0.0,3,31,7.466666666677914,0.23333333333350006,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,2,2,0,27,3.4028897285461426
1.0,detection,9,29,9,0.3103448275862069,9,0,0.0,9,91,8.577777777799204,0.2222222222225854,3.7513888888887905,100.0,100.0,0.0,0.0,29,11,9,9,0,20,3.6012113094329834
1.0,detection,10,29,4,0.13793103448275862,4,1,0.25,4,41,9.600000000010937,0.6000000000018417,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,3.5014877319335938
