radar_range,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
8,detection,0,29,5,0.1724137931034483,4,0,0.0,5,50,10.880000000028867,0.18000000000065483,2.0833333333332744,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.698613166809082
8,detection,1,29,6,0.20689655172413793,6,0,0.0,6,62,10.33333333334493,0.3666666666664848,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.709916830062866
8,detection,2,29,5,0.1724137931034483,5,0,0.0,5,50,12.44000000001547,0.2800000000003138,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6163246631622314
8,detection,3,29,5,0.1724137931034483,5,0,0.0,5,50,13.300000000028376,0.32000000000061846,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.807150363922119
8,detection,4,29,2,0.06896551724137931,2,1,0.5,2,19,15.649999999994066,0.19999999999987494,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.771010160446167
8,detection,5,29,5,0.1724137931034483,5,0,0.0,5,51,8.71999999999689,0.14000000000005458,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.779662609100342
8,detection,6,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,12.250000000013813,0.1500000000002236,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.821354627609253
8,detection,7,29,6,0.20689655172413793,6,0,0.0,6,60,10.466666666677014,0.3333333333336886,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.8777570724487305
8,detection,8,29,7,0.2413793103448276,7,1,0.14285714285714285,7,71,10.842857142876126,0.25714285714341906,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.5406668186187744
8,detection,9,29,6,0.20689655172413793,7,1,0.14285714285714285,6,60,10.683333333333835,0.5166666666662678,2.5055555555554725,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.6204636096954346
8,detection,10,29,8,0.27586206896551724,8,1,0.125,8,80,12.87500000001171,0.5875000000017963,3.3402777777776476,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.578071117401123
8,detection,11,29,6,0.20689655172413793,6,0,0.0,6,62,9.00000000000893,0.26666666666725786,2.504166666666584,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.535961866378784
8,detection,12,29,6,0.20689655172413793,6,0,0.0,6,58,12.733333333334533,0.21666666666695278,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.580310583114624
8,detection,13,29,6,0.20689655172413793,6,0,0.0,6,64,8.683333333352317,0.2500000000002842,2.499999999999918,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.62606143951416
8,detection,14,29,7,0.2413793103448276,7,0,0.0,7,70,10.057142857162555,0.31428571428672775,2.920833333333227,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.6184704303741455
8,aware,0,29,5,0.1724137931034483,4,0,0.0,5,50,10.880000000028867,0.18000000000065483,2.0833333333332744,100.0,100.0,0.0,0.0,29,5,4,4,0,25,3.636079788208008
8,aware,1,29,6,0.20689655172413793,6,0,0.0,6,62,10.33333333334493,0.3666666666664848,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.6236941814422607
8,aware,2,29,5,0.1724137931034483,5,0,0.0,5,50,12.44000000001547,0.2800000000003138,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6669843196868896
8,aware,3,29,5,0.1724137931034483,5,0,0.0,5,50,13.300000000028376,0.32000000000061846,2.086111111111052,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.6093788146972656
8,aware,4,29,2,0.06896551724137931,2,1,0.5,2,19,15.649999999994066,0.19999999999987494,0.8347222222222304,100.0,100.0,0.0,0.0,29,2,2,2,0,27,3.5860300064086914
8,aware,5,29,5,0.1724137931034483,5,0,0.0,5,51,8.71999999999689,0.14000000000005458,2.087499999999941,100.0,100.0,0.0,0.0,29,6,5,5,0,24,3.661627769470215
8,aware,6,29,6,0.20689655172413793,6,1,0.16666666666666666,6,60,12.250000000013813,0.1500000000002236,2.5027777777776947,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.7031335830688477
8,aware,7,29,6,0.20689655172413793,6,0,0.0,6,60,10.466666666677014,0.3333333333336886,2.5027777777776947,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.7859959602355957
8,aware,8,29,7,0.2413793103448276,7,1,0.14285714285714285,7,71,10.842857142876126,0.25714285714341906,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,3.748539447784424
8,aware,9,29,6,0.20689655172413793,7,1,0.14285714285714285,6,60,10.683333333333835,0.5166666666662678,2.5055555555554725,100.0,100.0,0.0,0.0,29,9,7,7,0,22,3.4453511238098145
8,aware,10,29,8,0.27586206896551724,8,1,0.125,8,80,12.87500000001171,0.5875000000017963,3.3402777777776476,100.0,100.0,0.0,0.0,29,8,8,8,0,21,3.3510525226593018
8,aware,11,29,6,0.20689655172413793,6,0,0.0,6,62,9.00000000000893,0.26666666666725786,2.504166666666584,100.0,100.0,0.0,0.0,29,7,6,6,0,23,3.3346662521362305
8,aware,12,29,6,0.20689655172413793,6,0,0.0,6,58,12.733333333334533,0.21666666666695278,2.504166666666584,100.0,100.0,0.0,0.0,29,6,6,6,0,23,3.2667176723480225
