radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,veh_present_known_pct,veh_coverage_pct,veh_gated_out_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
5,detection,0,29,9,0.3103448275862069,9,1,0.1111111111111111,9,93,8.544444444453774,0.1888888888889192,3.7569444444443474,100.0,100.0,0.0,0.0,29,9,9,9,0,20,6.04634952545166
5,detection,1,29,4,0.13793103448275862,4,0,0.0,4,41,9.175000000003479,0.37500000000056843,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,4,4,0,25,5.988937854766846
5,detection,2,29,5,0.1724137931034483,4,0,0.0,5,51,4.660000000005698,0.10000000000029559,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,4,4,0,25,6.134625196456909
5,detection,3,29,4,0.13793103448275862,4,0,0.0,4,41,8.125000000012278,0.15000000000020464,1.669444444444409,100.0,100.0,0.0,0.0,29,6,4,4,0,25,6.27075982093811
5,detection,4,29,5,0.1724137931034483,5,1,0.2,5,49,8.16000000001145,0.14000000000041837,2.086111111111052,100.0,100.0,0.0,0.0,29,7,5,5,0,24,6.0973334312438965
5,detection,5,29,8,0.27586206896551724,8,0,0.0,8,80,7.96250000001362,0.3375000000003183,3.33749999999987,100.0,100.0,0.0,0.0,29,8,8,8,0,21,6.127339124679565
5,detection,6,29,3,0.10344827586206896,3,0,0.0,3,29,8.633333333331583,0.833333333333068,1.2513888888888773,100.0,100.0,0.0,0.0,29,3,3,3,0,26,6.11962103843689
5,detection,7,29,5,0.1724137931034483,5,0,0.0,5,51,6.520000000016194,0.42000000000094245,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,5,5,0,24,6.135895490646362
5,detection,8,29,4,0.13793103448275862,4,1,0.25,4,41,6.475000000012699,0.350000000001188,1.66805555555552,100.0,100.0,0.0,0.0,29,4,4,4,0,25,5.8363752365112305
5,detection,9,29,10,0.3448275862068966,10,1,0.1,10,104,6.819999999999266,0.1200000000000017,4.174999999999998,100.0,100.0,0.0,0.0,29,10,10,10,0,19,6.2017738819122314
5,detection,10,29,7,0.2413793103448276,7,0,0.0,7,71,6.97142857143217,0.3428571428574157,2.9236111111110046,100.0,100.0,0.0,0.0,29,7,7,7,0,22,6.0524890422821045
5,detection,11,29,7,0.2413793103448276,7,0,0.0,7,70,7.428571428583658,0.471428571429446,2.919444444444338,100.0,100.0,0.0,0.0,29,7,7,7,0,22,6.009213924407959
5,detection,12,29,4,0.13793103448275862,4,0,0.0,4,39,8.400000000004212,0.19999999999986073,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,6.021773815155029
5,detection,13,29,5,0.1724137931034483,5,0,0.0,5,50,7.720000000005507,0.1800000000001205,2.086111111111052,100.0,100.0,0.0,0.0,29,5,5,5,0,24,6.271746635437012
5,detection,14,29,4,0.13793103448275862,4,1,0.25,4,40,6.000000000005343,0.15000000000009095,1.669444444444409,100.0,100.0,0.0,0.0,29,4,4,4,0,25,6.0445005893707275
5,aware,0,29,9,0.3103448275862069,9,1,0.1111111111111111,9,93,8.544444444453774,0.1888888888889192,3.7569444444443474,100.0,100.0,0.0,0.0,29,9,9,9,0,20,5.995913982391357
5,aware,1,29,4,0.13793103448275862,4,0,0.0,4,41,9.175000000003479,0.37500000000056843,1.6708333333332976,100.0,100.0,0.0,0.0,29,4,4,4,0,25,6.126030445098877
5,aware,2,29,5,0.1724137931034483,4,0,0.0,5,51,4.660000000005698,0.10000000000029559,2.0847222222221635,100.0,100.0,0.0,0.0,29,5,4,4,0,25,6.061292409896851
5,aware,3,29,4,0.13793103448275862,4,0,0.0,4,41,8.125000000012278,0.15000000000020464,1.669444444444409,100.0,100.0,0.0,0.0,29,6,4,4,0,25,6.2664384841918945
5,aware,4,29,5,0.1724137931034483,5,1,0.2,5,49,8.16000000001145,0.14000000000041837,2.086111111111052,100.0,100.0,0.0,0.0,29,7,5,5,0,24,6.201503276824951
