caution_speed_kmh,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
30,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
30,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
30,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
45,col_rate,control_vs_detection,15,15,11.6825,9.79365,0.403481,27.196,0.689749,poisson,0.748491,0.757835,0.282229,2.03492,-0.55023,0.582162,-1.88889,-10.8099,6.95278,16.1685,-118.446,66.8102
45,col_rate,control_vs_aware,15,15,11.6825,9.79365,0.403481,27.196,0.689749,poisson,0.748491,0.757835,0.282229,2.03492,-0.55023,0.582162,-1.88889,-10.8099,6.95278,16.1685,-118.446,66.8102
45,col_rate,detection_vs_aware,15,15,9.79365,9.79365,0,28,1,poisson,0.669242,1,0.350756,2.85098,7.26963e-16,1,0,-7.88889,7.88889,0,-151.462,60.6905
60,col_rate,control_vs_detection,15,15,11.6825,9.61111,0.419728,27.9169,0.677897,poisson,0.84233,0.855134,0.329926,2.21642,-0.322069,0.7474,-2.07143,-11.5321,7.44444,17.731,-119.66,73.0348
60,col_rate,control_vs_aware,15,15,11.6825,9.61111,0.419728,27.9169,0.677897,poisson,0.84233,0.855134,0.329926,2.21642,-0.322069,0.7474,-2.07143,-11.5321,7.44444,17.731,-119.66,73.0348
60,col_rate,detection_vs_aware,15,15,9.61111,9.61111,0,28,1,poisson,0.85692,1,0.375311,2.66446,4.44089e-16,1,0,-9.11111,8.88889,0,-204.104,67.1441
80,col_rate,control_vs_detection,15,15,11.6825,7.00794,1.00691,27.0075,0.322913,poisson,0.862291,0.777778,0.289656,2.08847,-0.498687,0.618,-4.6746,-13.3571,4.26984,40.0136,-67.1282,83.8511
80,col_rate,control_vs_aware,15,15,11.6825,7.00794,1.00691,27.0075,0.322913,poisson,0.862291,0.777778,0.289656,2.08847,-0.498687,0.618,-4.6746,-13.3571,4.26984,40.0136,-67.1282,83.8511
80,col_rate,detection_vs_aware,15,15,7.00794,7.00794,0,28,1,poisson,0.896842,1,0.350756,2.85098,0,1,0,-7.8254,7.88909,0,-276.418,74.5543
100,col_rate,control_vs_detection,15,15,11.6825,11.4683,0.0438151,27.8482,0.965364,poisson,0.819328,1.00966,0.418391,2.43652,0.021393,0.982932,-0.214286,-9.47619,9.13512,1.83424,-153.793,59.0115
100,col_rate,control_vs_aware,15,15,11.6825,11.4683,0.0438151,27.8482,0.965364,poisson,0.819328,1.00966,0.418391,2.43652,0.021393,0.982932,-0.214286,-9.47619,9.13512,1.83424,-153.793,59.0115
100,col_rate,detection_vs_aware,15,15,11.4683,11.4683,0,28,1,poisson,0.810915,1,0.433551,2.30654,-6.50926e-16,1,0,-8.96052,9.10317,0,-142.474,58.1974
