detection_rate_per_sec,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
0.3,col_rate,control_vs_detection,15,15,11.6825,15.7619,-0.755602,27.6103,0.456286,poisson,0.860887,1.21975,0.521386,2.85354,0.458107,0.646876,4.07937,-5.93651,14.3016,-34.9185,-243.475,37.359
0.3,col_rate,control_vs_aware,15,15,11.6825,15.7619,-0.755602,27.6103,0.456286,poisson,0.860887,1.21975,0.521386,2.85354,0.458107,0.646876,4.07937,-5.93651,14.3016,-34.9185,-243.475,37.359
0.3,col_rate,detection_vs_aware,15,15,15.7619,15.7619,0,28,1,poisson,0.894035,1,0.46358,2.15712,-7.07631e-17,1,0,-10.5877,10.6825,0,-109.364,51.4458
0.5,col_rate,control_vs_detection,15,15,11.6825,7.30159,0.992046,25.4427,0.330517,poisson,0.805026,0.649573,0.24191,1.74422,-0.856113,0.391935,-4.38095,-12.873,3.90516,37.5,-63.8488,78.8235
0.5,col_rate,control_vs_aware,15,15,11.6825,7.30159,0.992046,25.4427,0.330517,poisson,0.805026,0.649573,0.24191,1.74422,-0.856113,0.391935,-4.38095,-12.873,3.90516,37.5,-63.8488,78.8235
0.5,col_rate,detection_vs_aware,15,15,7.30159,7.30159,0,28,1,poisson,0.782313,1,0.350756,2.85098,3.37519e-16,1,0,-6.92143,6.85714,0,-196.372,67.1023
1,col_rate,control_vs_detection,15,15,11.6825,7.5,0.925023,26.2739,0.363373,poisson,0.803113,0.635603,0.236708,1.70671,-0.899252,0.368518,-4.18254,-12.8682,4.31786,35.8016,-71.9958,79.0297
1,col_rate,control_vs_aware,15,15,11.6825,7.5,0.925023,26.2739,0.363373,poisson,0.803113,0.635603,0.236708,1.70671,-0.899252,0.368518,-4.18254,-12.8682,4.31786,35.8016,-71.9958,79.0297
1,col_rate,detection_vs_aware,15,15,7.5,7.5,0,28,1,poisson,0.778486,1,0.350756,2.85098,-5.19259e-17,1,0,-7.5,7.22454,0,-204.021,68.1416
2,col_rate,control_vs_detection,15,15,11.6825,5.39683,1.25812,27.9765,0.218748,poisson,1.09698,0.308943,0.0836375,1.14119,-1.7619,0.0780864,-6.28571,-15.2861,3.7619,53.8043,-54.0678,100
2,col_rate,control_vs_aware,15,15,11.6825,5.39683,1.25812,27.9765,0.218748,poisson,1.09698,0.308943,0.0836375,1.14119,-1.7619,0.0780864,-6.28571,-15.2861,3.7619,53.8043,-54.0678,100
2,col_rate,detection_vs_aware,15,15,5.39683,5.39683,0,28,1,poisson,1.36621,1,0.201833,4.95458,-2.03964e-16,1,0,-9.52381,9.52381,0,-600,100
3,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
3,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
3,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
5,col_rate,control_vs_detection,15,15,11.6825,7.52381,0.883109,27.3164,0.384883,poisson,0.980239,0.689342,0.265961,1.7867,-0.765605,0.443911,-4.15873,-12.9687,5.01587,35.5978,-79.8611,81.983
5,col_rate,control_vs_aware,15,15,11.6825,7.52381,0.883109,27.3164,0.384883,poisson,0.980239,0.689342,0.265961,1.7867,-0.765605,0.443911,-4.15873,-12.9687,5.01587,35.5978,-79.8611,81.983
5,col_rate,detection_vs_aware,15,15,7.52381,7.52381,0,28,1,poisson,1.13274,1,0.375311,2.66446,1.22125e-15,1,0,-8.28571,8.22302,0,-271.097,73.7217
