radar_range,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
8,col_rate,control_vs_detection,15,15,11.6825,7.18254,0.898697,27.9833,0.376482,poisson,0.897118,0.490956,0.164534,1.46497,-1.27543,0.202157,-4.5,-13.6111,5.34127,38.519,-79.7071,86.1461
8,col_rate,control_vs_aware,15,15,11.6825,7.18254,0.898697,27.9833,0.376482,poisson,0.897118,0.490956,0.164534,1.46497,-1.27543,0.202157,-4.5,-13.6111,5.34127,38.519,-79.7071,86.1461
8,col_rate,detection_vs_aware,15,15,7.18254,7.18254,0,28,1,poisson,0.966497,1,0.289496,3.45428,1.40433e-15,1,0,-9.60317,9.28671,0,-360.827,79.791
10,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
10,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
10,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
12,col_rate,control_vs_detection,15,15,11.6825,3.95238,1.91723,20.9526,0.0689447,poisson,0.726242,0.392765,0.120952,1.27541,-1.55518,0.119904,-7.73016,-15.5405,-0.221825,66.1685,3.69328,93.3628
12,col_rate,control_vs_aware,15,15,11.6825,3.95238,1.91723,20.9526,0.0689447,poisson,0.726242,0.392765,0.120952,1.27541,-1.55518,0.119904,-7.73016,-15.5405,-0.221825,66.1685,3.69328,93.3628
12,col_rate,detection_vs_aware,15,15,3.95238,3.95238,0,28,1,poisson,0.624745,1,0.250091,3.99854,8.24299e-16,1,0,-4.95238,4.7619,0,-345.75,81.5789
15,col_rate,control_vs_detection,15,15,11.6825,4.57143,1.62941,24.9672,0.115779,poisson,1.03428,0.383838,0.118204,1.24643,-1.59343,0.111063,-7.11111,-15.4766,1.04762,60.8696,-17.9792,100
15,col_rate,control_vs_aware,15,15,11.6825,4.57143,1.62941,24.9672,0.115779,poisson,1.03428,0.383838,0.118204,1.24643,-1.59343,0.111063,-7.11111,-15.4766,1.04762,60.8696,-17.9792,100
15,col_rate,detection_vs_aware,15,15,4.57143,4.57143,0,28,1,poisson,1.24082,1,0.250092,3.99853,1.09907e-15,1,0,-6.66667,6.47619,0,-342.857,100
20,col_rate,control_vs_detection,15,15,11.6825,6.96825,1.04282,26.268,0.306534,poisson,0.920517,0.556777,0.198176,1.56427,-1.11108,0.266533,-4.71429,-13.3968,3.85794,40.3533,-60.9692,83.277
20,col_rate,control_vs_aware,15,15,11.6825,6.96825,1.04282,26.268,0.306534,poisson,0.920517,0.556777,0.198176,1.56427,-1.11108,0.266533,-4.71429,-13.3968,3.85794,40.3533,-60.9692,83.277
20,col_rate,detection_vs_aware,15,15,6.96825,6.96825,0,28,1,poisson,1.01329,1,0.322515,3.10063,1.92296e-16,1,0,-7.25397,7.52421,0,-263.639,72.8584
