size_scale,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
0.25,col_rate,control_vs_detection,15,15,11.6825,7.39683,0.848457,27.9988,0.403379,poisson,0.829686,0.562963,0.188666,1.67983,-1.03006,0.302981,-4.28571,-13.5556,5.66706,36.6848,-84.5575,85.8427
0.25,col_rate,control_vs_aware,15,15,11.6825,7.39683,0.848457,27.9988,0.403379,poisson,0.829686,0.562963,0.188666,1.67983,-1.03006,0.302981,-4.28571,-13.5556,5.66706,36.6848,-84.5575,85.8427
0.25,col_rate,detection_vs_aware,15,15,7.39683,7.39683,0,28,1,poisson,0.831633,1,0.289496,3.45428,-1.09714e-15,1,0,-9.55714,9.39762,0,-376.389,79.0262
0.5,col_rate,control_vs_detection,15,15,11.6825,3.54497,1.99784,21.5312,0.058522,poisson,0.836489,0.402116,0.123832,1.30578,-1.51602,0.129515,-8.13757,-15.9524,-0.423148,69.6558,7.54847,100
0.5,col_rate,control_vs_aware,15,15,11.6825,3.54497,1.99784,21.5312,0.058522,poisson,0.836489,0.402116,0.123832,1.30578,-1.51602,0.129515,-8.13757,-15.9524,-0.423148,69.6558,7.54847,100
0.5,col_rate,detection_vs_aware,15,15,3.54497,3.54497,0,28,1,poisson,0.845238,1,0.250091,3.99854,-7.85046e-17,1,0,-5.02646,5.18519,0,-366.667,100
0.75,col_rate,control_vs_detection,15,15,11.6825,10.6349,0.19767,27.7964,0.844742,poisson,0.986092,0.904762,0.359142,2.2793,-0.212309,0.831866,-1.04762,-10.873,9.14325,8.96739,-148.06,70.7266
0.75,col_rate,control_vs_aware,15,15,11.6825,10.6349,0.19767,27.7964,0.844742,poisson,0.986092,0.904762,0.359142,2.2793,-0.212309,0.831866,-1.04762,-10.873,9.14325,8.96739,-148.06,70.7266
0.75,col_rate,detection_vs_aware,15,15,10.6349,10.6349,0,28,1,poisson,1.14444,1,0.396947,2.51923,-5.00467e-16,1,0,-10.5079,10.6032,0,-220.307,68.8947
1,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
1,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
1,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
1.5,col_rate,control_vs_detection,15,15,11.6825,8.04233,0.770725,27.3728,0.447472,poisson,0.9476,0.689342,0.265961,1.7867,-0.765605,0.443911,-3.64021,-12.5615,5.42884,31.1594,-87.7081,77.4447
1.5,col_rate,control_vs_aware,15,15,11.6825,8.04233,0.770725,27.3728,0.447472,poisson,0.9476,0.689342,0.265961,1.7867,-0.765605,0.443911,-3.64021,-12.5615,5.42884,31.1594,-87.7081,77.4447
1.5,col_rate,detection_vs_aware,15,15,8.04233,8.04233,0,28,1,poisson,1.06746,1,0.375311,2.66446,1.94289e-15,1,0,-8.35979,8.25397,0,-225.661,70.415
2,col_rate,control_vs_detection,15,15,11.6825,8.4127,0.659923,27.9404,0.514707,poisson,1.13645,0.662309,0.255531,1.71664,-0.847935,0.396474,-3.26984,-12.5714,6.2869,27.9891,-100.505,80.0839
2,col_rate,control_vs_aware,15,15,11.6825,8.4127,0.659923,27.9404,0.514707,poisson,1.13645,0.662309,0.255531,1.71664,-0.847935,0.396474,-3.26984,-12.5714,6.2869,27.9891,-100.505,80.0839
2,col_rate,detection_vs_aware,15,15,8.4127,8.4127,0,28,1,poisson,1.44515,1,0.375311,2.66446,-1.38778e-15,1,0,-9.36508,9.20635,0,-274.977,74.7741
3,col_rate,control_vs_detection,15,15,11.6825,7.07407,0.997363,26.8918,0.327479,poisson,0.928553,0.628842,0.23419,1.68855,-0.920475,0.357325,-4.60847,-13.2757,4.33386,39.4475,-70.3343,83.4441
3,col_rate,control_vs_aware,15,15,11.6825,7.07407,0.997363,26.8918,0.327479,poisson,0.928553,0.628842,0.23419,1.68855,-0.920475,0.357325,-4.60847,-13.2757,4.33386,39.4475,-70.3343,83.4441
3,col_rate,detection_vs_aware,15,15,7.07407,7.07407,0,28,1,poisson,1.02937,1,0.350756,2.85098,-1.55778e-15,1,0,-7.96296,7.81481,0,-276.625,74.2636
