radar_spacing,metric,comparison,n_ref,n_trt,mean_ref_pct,mean_trt_pct,welch_t,welch_df,welch_p,glm_family,glm_dispersion,rate_ratio,rr_ci_low,rr_ci_high,glm_z,glm_p,bootstrap_diff_pp,bootstrap_ci_low_pp,bootstrap_ci_high_pp,reduction_pct,reduction_ci_low_pct,reduction_ci_high_pct
5,col_rate,control_vs_detection,15,15,11.6825,6.07407,1.28235,25.0563,0.211457,poisson,0.775457,0.508701,0.170481,1.51792,-1.21177,0.2256,-5.60847,-14.1111,2.74603,48.0072,-43.918,85.8452
5,col_rate,control_vs_aware,15,15,11.6825,6.07407,1.28235,25.0563,0.211457,poisson,0.775457,0.508701,0.170481,1.51792,-1.21177,0.2256,-5.60847,-14.1111,2.74603,48.0072,-43.918,85.8452
5,col_rate,detection_vs_aware,15,15,6.07407,6.07407,0,28,1,poisson,0.723175,1,0.289496,3.45428,-6.58281e-16,1,0,-6.59259,6.81481,0,-279.445,74.8561
10,col_rate,control_vs_detection,15,15,11.6825,5.83333,1.2842,26.4982,0.210187,poisson,0.873989,0.570571,0.191216,1.70253,-1.006,0.314417,-5.84921,-14.5002,2.94444,50.0679,-47.7623,91.0268
10,col_rate,control_vs_aware,15,15,11.6825,5.83333,1.2842,26.4982,0.210187,poisson,0.873989,0.570571,0.191216,1.70253,-1.006,0.314417,-5.84921,-14.5002,2.94444,50.0679,-47.7623,91.0268
10,col_rate,detection_vs_aware,15,15,5.83333,5.83333,0,28,1,poisson,0.920238,1,0.289496,3.45428,1.14102e-15,1,0,-7.5,7.5,0,-383.333,82.8571
15,col_rate,control_vs_detection,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
15,col_rate,control_vs_aware,15,15,11.6825,9.90476,0.343241,27.9494,0.733986,poisson,0.944482,0.844444,0.325802,2.18871,-0.347956,0.727873,-1.77778,-11.4444,8.19048,15.2174,-128.571,72.7278
15,col_rate,detection_vs_aware,15,15,9.90476,9.90476,0,28,1,poisson,1.06122,1,0.375311,2.66446,-7.77156e-16,1,0,-10.0952,9.90476,0,-223.571,69.5716
20,col_rate,control_vs_detection,15,15,11.6825,4.10053,1.79004,23.6028,0.0862857,poisson,0.913941,0.392765,0.120952,1.27541,-1.55518,0.119904,-7.58201,-15.7938,0.481481,64.9004,-7.54323,100
20,col_rate,control_vs_aware,15,15,11.6825,4.10053,1.79004,23.6028,0.0862857,poisson,0.913941,0.392765,0.120952,1.27541,-1.55518,0.119904,-7.58201,-15.7938,0.481481,64.9004,-7.54323,100
20,col_rate,detection_vs_aware,15,15,4.10053,4.10053,0,28,1,poisson,1.00014,1,0.250091,3.99854,-1.96262e-16,1,0,-6.13823,6.00529,0,-366.667,100
25,col_rate,control_vs_detection,15,15,11.6825,10.7381,0.191316,27.9187,0.849663,poisson,0.764909,1,0.396947,2.51923,2.35514e-16,1,-0.944444,-10.2304,8.65159,8.08424,-142.04,64.1467
25,col_rate,control_vs_aware,15,15,11.6825,10.7381,0.191316,27.9187,0.849663,poisson,0.764909,1,0.396947,2.51923,2.35514e-16,1,-0.944444,-10.2304,8.65159,8.08424,-142.04,64.1467
25,col_rate,detection_vs_aware,15,15,10.7381,10.7381,0,28,1,poisson,0.702079,1,0.396947,2.51923,8.24299e-16,1,0,-9.07143,9.34921,0,-169.933,61.3039
30,col_rate,control_vs_detection,15,15,11.6825,12.2407,-0.110407,27.9994,0.912874,poisson,0.775698,0.987013,0.391792,2.48651,-0.0277301,0.977877,0.558201,-9.06984,10.0397,-4.77808,-166.218,56.0817
30,col_rate,control_vs_aware,15,15,11.6825,12.2407,-0.110407,27.9994,0.912874,poisson,0.775698,0.987013,0.391792,2.48651,-0.0277301,0.977877,0.558201,-9.06984,10.0397,-4.77808,-166.218,56.0817
30,col_rate,detection_vs_aware,15,15,12.2407,12.2407,0,28,1,poisson,0.723655,1,0.396947,2.51923,-3.53271e-16,1,0,-9.61111,9.40741,0,-133.233,57.9296
40,col_rate,control_vs_detection,15,15,11.6825,12.1111,-0.0865469,27.9371,0.931649,poisson,0.823156,0.970626,0.394407,2.38869,-0.0648886,0.948263,0.428571,-9.03175,9.77778,-3.66848,-162.862,56.1996
40,col_rate,control_vs_aware,15,15,11.6825,12.1111,-0.0865469,27.9371,0.931649,poisson,0.823156,0.970626,0.394407,2.38869,-0.0648886,0.948263,0.428571,-9.03175,9.77778,-3.66848,-162.862,56.1996
40,col_rate,detection_vs_aware,15,15,12.1111,12.1111,0,28,1,poisson,0.818571,1,0.416221,2.40257,1.8619e-16,1,0,-9,9.22222,0,-134.783,56.1112
