mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
control,0,59,0,0.0,18,2,0.1111111111111111,0,0,0.0,0.0,0.0,11.099999999999977,59,59,40,19,5,43,3.077775716781616
control,1,59,0,0.0,23,3,0.13043478260869565,0,0,0.0,0.0,0.0,15.399999999999961,59,59,43,24,7,36,2.9517998695373535
control,2,59,0,0.0,21,3,0.14285714285714285,0,0,0.0,0.0,0.0,7.39999999999999,59,59,41,21,3,39,2.9686591625213623
control,3,59,0,0.0,23,2,0.08695652173913043,0,0,0.0,0.0,0.0,2.1000000000000005,59,59,49,23,1,36,2.9535329341888428
control,4,59,0,0.0,22,1,0.045454545454545456,0,0,0.0,0.0,0.0,14.499999999999964,59,59,47,22,5,39,2.92983341217041
control,5,59,0,0.0,29,1,0.034482758620689655,0,0,0.0,0.0,0.0,4.999999999999998,59,59,47,30,3,30,2.930812358856201
control,6,59,0,0.0,24,5,0.20833333333333334,0,0,0.0,0.0,0.0,10.19999999999998,59,59,42,24,4,35,2.9331328868865967
control,7,59,0,0.0,23,3,0.13043478260869565,0,0,0.0,0.0,0.0,9.299999999999983,59,59,43,23,4,36,3.1163747310638428
control,8,59,0,0.0,21,4,0.19047619047619047,0,0,0.0,0.0,0.0,12.499999999999972,59,59,42,21,6,40,3.0186238288879395
control,9,59,0,0.0,32,6,0.1875,0,0,0.0,0.0,0.0,12.89999999999997,59,59,46,32,5,28,3.004181146621704
control,10,59,0,0.0,26,1,0.038461538461538464,0,0,0.0,0.0,0.0,18.39999999999999,59,59,40,27,7,34,2.985184669494629
control,11,59,0,0.0,24,0,0.0,0,0,0.0,0.0,0.0,15.59999999999996,59,59,46,24,5,36,2.985978603363037
control,12,59,0,0.0,22,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,59,59,45,22,4,38,2.970853328704834
control,13,59,0,0.0,25,6,0.24,0,0,0.0,0.0,0.0,16.499999999999964,59,59,50,27,8,34,2.9847068786621094
control,14,59,0,0.0,25,2,0.08,0,0,0.0,0.0,0.0,11.599999999999975,59,59,38,26,4,35,2.9604876041412354
control,15,59,0,0.0,21,1,0.047619047619047616,0,0,0.0,0.0,0.0,17.899999999999984,59,59,43,22,7,39,2.95812726020813
control,16,59,0,0.0,22,2,0.09090909090909091,0,0,0.0,0.0,0.0,6.8999999999999915,59,59,47,23,3,37,2.9835147857666016
control,17,59,0,0.0,16,3,0.1875,0,0,0.0,0.0,0.0,5.999999999999995,59,59,39,17,2,43,3.028337001800537
control,18,59,0,0.0,19,1,0.05263157894736842,0,0,0.0,0.0,0.0,9.299999999999983,59,59,40,20,3,40,3.006572961807251
control,19,59,0,0.0,23,2,0.08695652173913043,0,0,0.0,0.0,0.0,15.69999999999996,59,59,42,23,6,36,2.9610249996185303
detection,0,59,58,0.9830508474576272,41,4,0.0975609756097561,58,580,2.289655172420852,0.30689655172496383,12.091666666663277,0.0,59,59,55,41,0,18,4.768066167831421
detection,1,59,59,1.0,46,5,0.10869565217391304,59,592,2.410169491531469,0.24915254237337733,12.299999999996421,2.700000000000001,59,59,58,46,1,13,4.830394744873047
detection,2,59,59,1.0,41,6,0.14634146341463414,59,591,2.4338983050912084,0.2576271186447656,12.299999999996421,2.0000000000000004,59,59,53,41,1,18,4.892380475997925
detection,3,59,58,0.9830508474576272,37,2,0.05405405405405406,58,579,2.2379310344889034,0.24655172413843449,12.091666666663277,0.0,59,59,51,37,0,22,4.876834869384766
detection,4,59,58,0.9830508474576272,38,4,0.10526315789473684,58,583,2.3517241379343146,0.2948275862076364,12.091666666663277,0.0,59,59,52,38,0,21,4.859162330627441
detection,5,59,59,1.0,45,1,0.022222222222222223,59,592,2.186440677970582,0.2915254237294724,12.299999999996421,0.0,59,59,56,45,0,14,4.755658864974976
detection,6,59,58,0.9830508474576272,38,2,0.05263157894736842,58,583,2.1241379310389763,0.3206896551731002,12.091666666663277,1.8000000000000005,59,59,55,38,1,21,4.8485822677612305
