detection_rate_per_sec,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.3,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.521913766860962
0.3,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5469603538513184
0.3,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.505589485168457
0.3,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.5086262226104736
0.3,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.513688325881958
0.3,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.5022361278533936
0.3,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5120038986206055
0.3,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.5192599296569824
0.3,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.493800401687622
0.3,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5083208084106445
0.3,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5038247108459473
0.3,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5173087120056152
0.3,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.5055017471313477
0.3,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5145890712738037
0.3,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5036730766296387
0.3,detection,0,29,28,0.9655172413793104,17,1,0.058823529411764705,28,280,4.471428571435825,2.3321428571462994,11.681944444446149,0.0,29,29,26,17,0,12,2.423621654510498
0.3,detection,1,29,29,1.0,19,0,0.0,29,292,4.655172413795916,2.062068965519249,12.100000000001799,0.0,29,29,26,19,0,10,2.437650680541992
0.3,detection,2,29,27,0.9310344827586207,18,3,0.16666666666666666,27,274,3.9037037037120577,2.3629629629681372,11.266666666668275,5.799999999999995,29,29,25,18,2,11,2.387303113937378
0.3,detection,3,29,29,1.0,20,0,0.0,29,290,4.489655172419976,2.5482758620720527,12.100000000001799,0.0,29,29,24,20,0,9,2.4008235931396484
0.3,detection,4,29,27,0.9310344827586207,16,0,0.0,27,271,4.6629629629669544,2.7666666666691735,11.266666666668275,0.0,29,29,24,16,0,13,2.4414315223693848
0.3,detection,5,29,26,0.896551724137931,17,0,0.0,26,259,4.5653846153894015,2.2576923076943625,10.850000000001517,2.500000000000001,29,29,26,17,1,12,2.4220798015594482
0.3,detection,6,29,28,0.9655172413793104,16,0,0.0,28,281,5.65000000000522,3.4428571428592463,11.683333333335037,0.0,29,29,25,16,0,13,2.428014039993286
0.3,detection,7,29,29,1.0,18,0,0.0,29,288,5.55172413793754,3.1206896551769514,12.100000000001799,4.000000000000002,29,29,26,18,1,11,2.4644925594329834
0.3,detection,8,29,28,0.9655172413793104,11,1,0.09090909090909091,28,282,5.632142857150032,2.55714285714643,11.683333333335037,3.800000000000002,29,29,25,11,1,18,2.4738447666168213
0.3,detection,9,29,26,0.896551724137931,18,1,0.05555555555555555,26,257,3.934615384623929,2.200000000003703,10.847222222223737,0.0,29,29,23,18,0,11,2.455204725265503
0.3,detection,10,29,28,0.9655172413793104,20,0,0.0,28,278,4.500000000005131,3.042857142859608,11.683333333335037,0.0,29,29,27,20,0,9,2.427456855773926
0.3,detection,11,29,26,0.896551724137931,22,1,0.045454545454545456,26,260,3.4769230769290433,2.0846153846185107,10.847222222223737,0.0,29,29,25,22,0,7,2.416656494140625
0.3,detection,12,29,28,0.9655172413793104,22,1,0.045454545454545456,28,280,4.600000000004841,2.4642857142884784,11.681944444446149,0.0,29,29,27,22,0,7,2.426248788833618
0.3,detection,13,29,27,0.9310344827586207,17,1,0.058823529411764705,27,273,6.051851851861435,2.966666666672777,11.265277777779387,0.0,29,29,26,17,0,12,2.47265362739563
0.3,detection,14,29,28,0.9655172413793104,16,1,0.0625,28,283,3.8285714285762222,2.1071428571456274,11.683333333335037,0.0,29,29,28,16,0,13,2.434720993041992
0.3,aware,0,29,27,0.9310344827586207,19,0,0.0,27,272,4.666666666674894,1.8666666666693943,11.266666666668275,0.0,29,29,25,19,0,10,2.4599978923797607
0.3,aware,1,29,28,0.9655172413793104,17,4,0.23529411764705882,28,282,4.578571428576765,2.289285714287059,11.683333333335037,0.0,29,29,24,17,0,12,2.4554479122161865
0.3,aware,2,29,27,0.9310344827586207,18,0,0.0,27,271,5.133333333341013,2.981481481484651,11.265277777779387,0.0,29,29,26,18,0,11,2.396259307861328
0.3,aware,3,29,28,0.9655172413793104,15,0,0.0,28,279,4.682142857147526,2.853571428573928,11.683333333335037,9.799999999999981,29,29,24,15,3,14,2.435694694519043
0.3,aware,4,29,29,1.0,17,1,0.058823529411764705,29,291,5.537931034488203,2.734482758623595,12.100000000001799,3.5000000000000018,29,29,24,17,1,12,2.4105162620544434
0.3,aware,5,29,29,1.0,21,2,0.09523809523809523,29,292,4.744827586211246,2.7586206896571444,12.100000000001799,0.0,29,29,28,21,0,8,2.4450747966766357
0.3,aware,6,29,25,0.8620689655172413,14,1,0.07142857142857142,25,250,5.228000000004525,2.460000000001709,10.431944444445863,0.0,29,29,21,14,0,15,2.4551737308502197
0.3,aware,7,29,27,0.9310344827586207,17,1,0.058823529411764705,27,267,4.377777777782665,2.0296296296313754,11.266666666668275,0.0,29,29,26,17,0,12,2.417471408843994
0.3,aware,8,29,27,0.9310344827586207,17,1,0.058823529411764705,27,267,4.488888888892312,2.4370370370406857,11.263888888890497,0.0,29,29,25,17,0,12,2.4470272064208984
0.3,aware,9,29,28,0.9655172413793104,20,0,0.0,28,280,5.328571428577874,2.9607142857195874,11.683333333335037,2.600000000000001,29,29,26,21,1,9,2.445756435394287
0.3,aware,10,29,25,0.8620689655172413,14,0,0.0,25,250,5.172000000007229,3.196000000005879,10.430555555556975,0.0,29,29,24,14,0,15,2.4614334106445312
0.3,aware,11,29,25,0.8620689655172413,14,1,0.07142857142857142,25,250,5.264000000007395,2.576000000002765,10.429166666668085,3.4000000000000017,29,29,24,14,1,15,2.4361162185668945
0.3,aware,12,29,26,0.896551724137931,18,0,0.0,26,264,5.888461538466486,3.8153846153888944,10.847222222223737,1.5000000000000002,29,29,24,18,1,11,2.4153075218200684
0.3,aware,13,29,25,0.8620689655172413,15,0,0.0,25,253,5.100000000006413,2.8040000000057272,10.431944444445863,0.0,29,29,20,15,0,14,2.4272053241729736
0.3,aware,14,29,26,0.896551724137931,15,1,0.06666666666666667,26,262,3.173076923079329,2.011538461539459,10.848611111112625,1.2,29,29,27,15,1,14,2.3973419666290283
0.5,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.4866292476654053
0.5,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5029213428497314
0.5,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.4955265522003174
0.5,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.496079921722412
0.5,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.4875156879425049
0.5,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.478193759918213
0.5,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.4616448879241943
0.5,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.4716830253601074
0.5,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.4503107070922852
0.5,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.4707956314086914
0.5,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.4971590042114258
0.5,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.474644660949707
0.5,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.4895820617675781
0.5,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.5000782012939453
