size_scale,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
0.25,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.484229326248169
0.25,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.5137879848480225
0.25,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.5010631084442139
0.25,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.506298542022705
0.25,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.5019786357879639
0.25,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.493912696838379
0.25,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5055723190307617
0.25,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.4854741096496582
0.25,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.510202407836914
0.25,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.524843454360962
0.25,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.4749095439910889
0.25,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5085744857788086
0.25,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.504117488861084
0.25,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.4981718063354492
0.25,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5151417255401611
0.25,detection,0,29,28,0.9655172413793104,17,1,0.058823529411764705,28,282,2.4928571428588007,0.4928571428576153,11.683333333335037,0.0,29,29,24,17,0,12,2.483734607696533
0.25,detection,1,29,29,1.0,21,1,0.047619047619047616,29,291,2.958620689657175,0.5551724137935639,12.100000000001799,0.0,29,29,28,21,0,8,2.4515552520751953
0.25,detection,2,29,27,0.9310344827586207,16,0,0.0,27,276,2.4000000000046415,0.5777777777782996,11.266666666668275,0.0,29,29,26,16,0,13,2.4549386501312256
0.25,detection,3,29,27,0.9310344827586207,19,0,0.0,27,267,2.5518518518551754,0.555555555555865,11.266666666668275,1.0999999999999999,29,29,25,19,1,10,2.450979232788086
0.25,detection,4,29,29,1.0,15,2,0.13333333333333333,29,292,2.2655172413804703,0.59655172413864,12.100000000001799,0.0,29,29,25,15,0,14,2.4638466835021973
0.25,detection,5,29,29,1.0,22,0,0.0,29,290,2.2172413793113597,0.3965517241384779,12.100000000001799,3.2000000000000015,29,29,25,22,1,7,2.4495160579681396
0.25,detection,6,29,28,0.9655172413793104,22,2,0.09090909090909091,28,282,3.9857142857167593,0.5214285714291975,11.681944444446149,0.0,29,29,27,22,0,7,2.587956666946411
0.25,detection,7,29,29,1.0,23,4,0.17391304347826086,29,293,1.9137931034496058,0.5689655172420663,12.100000000001799,1.8000000000000005,29,29,27,23,1,6,2.4501821994781494
0.25,detection,8,29,29,1.0,19,0,0.0,29,293,2.6344827586223833,0.5551724137935443,12.100000000001799,2.400000000000001,29,29,26,19,1,10,2.444124698638916
0.25,detection,9,29,29,1.0,16,1,0.0625,29,288,2.1068965517262654,0.4379310344833345,12.100000000001799,0.0,29,29,24,16,0,13,2.4371511936187744
0.25,detection,10,29,29,1.0,18,1,0.05555555555555555,29,285,2.651724137935783,0.7344827586217093,12.100000000001799,3.1000000000000014,29,29,28,18,1,11,2.477788209915161
0.25,detection,11,29,29,1.0,22,2,0.09090909090909091,29,291,3.651724137935014,0.520689655173328,12.100000000001799,3.1000000000000014,29,29,28,22,1,7,2.486644744873047
0.25,detection,12,29,29,1.0,22,0,0.0,29,291,2.5172413793123747,0.47931034482781965,12.100000000001799,0.0,29,29,24,22,0,7,2.4653382301330566
0.25,detection,13,29,28,0.9655172413793104,23,1,0.043478260869565216,28,280,2.1000000000051267,0.4928571428575919,11.683333333335037,0.0,29,29,28,23,0,6,2.4493772983551025
0.25,detection,14,29,29,1.0,20,0,0.0,29,289,3.3517241379346485,0.5000000000006017,12.100000000001799,0.0,29,29,26,20,0,9,2.6430296897888184
0.25,aware,0,29,29,1.0,15,1,0.06666666666666667,29,291,4.0551724137983625,0.862068965518191,12.100000000001799,0.0,29,29,23,15,0,14,2.539654493331909
0.25,aware,1,29,29,1.0,18,1,0.05555555555555555,29,291,2.8724137931056144,0.42068965517289364,12.100000000001799,0.0,29,29,26,18,0,11,2.4832763671875
0.25,aware,2,29,29,1.0,21,0,0.0,29,293,2.962068965521055,0.5896551724144329,12.100000000001799,0.0,29,29,25,21,0,8,2.600179672241211
0.25,aware,3,29,29,1.0,19,1,0.05263157894736842,29,290,3.4517241379357992,0.8068965517244047,12.100000000001799,0.0,29,29,26,19,0,10,2.5236475467681885
0.25,aware,4,29,28,0.9655172413793104,18,0,0.0,28,280,1.867857142860704,0.40357142857155076,11.681944444446149,0.0,29,29,23,18,0,11,2.4772791862487793
0.25,aware,5,29,29,1.0,23,1,0.043478260869565216,29,295,1.824137931035165,0.4689655172421367,12.100000000001799,0.0,29,29,28,23,0,6,2.5013046264648438
0.25,aware,6,29,27,0.9310344827586207,20,1,0.05,27,272,2.462962962964983,0.45555555555607913,11.263888888890497,0.0,29,29,24,20,0,9,2.5448760986328125
0.25,aware,7,29,29,1.0,19,0,0.0,29,291,3.2862068965559663,0.6620689655178907,12.100000000001799,0.0,29,29,28,19,0,10,2.4962856769561768
0.25,aware,8,29,29,1.0,19,1,0.05263157894736842,29,291,2.682758620692635,0.5551724137935746,12.100000000001799,0.0,29,29,26,19,0,10,2.4691922664642334
