radar_spacing,mode,trial,animals,detected,det_rate,road_entries,collisions,col_rate,warnings,vehicles_alerted,mean_latency_s,in_range_latency_s,awareness_pct,frozen_on_road_s,n_foraging,n_approaching,n_hesitating,n_crossing,n_frozen,n_fleeing,wall_seconds
5,control,0,29,0,0.0,8,2,0.25,0,0,0.0,0.0,0.0,5.4999999999999964,29,29,22,8,2,22,1.5208680629730225
5,control,1,29,0,0.0,9,0,0.0,0,0,0.0,0.0,0.0,7.19999999999999,29,29,20,9,2,20,1.54396390914917
5,control,2,29,0,0.0,7,1,0.14285714285714285,0,0,0.0,0.0,0.0,0.0,29,29,17,7,0,22,1.465782642364502
5,control,3,29,0,0.0,11,1,0.09090909090909091,0,0,0.0,0.0,0.0,0.0,29,29,24,11,0,18,1.553694486618042
5,control,4,29,0,0.0,14,1,0.07142857142857142,0,0,0.0,0.0,0.0,11.699999999999974,29,29,23,14,4,17,1.4887311458587646
5,control,5,29,0,0.0,14,0,0.0,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,23,14,1,15,1.4744298458099365
5,control,6,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,0.4,29,29,20,11,1,18,1.5318057537078857
5,control,7,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,2.0000000000000004,29,29,20,11,1,18,1.489109754562378
5,control,8,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,6.499999999999993,29,29,21,11,4,20,1.4937529563903809
5,control,9,29,0,0.0,14,3,0.21428571428571427,0,0,0.0,0.0,0.0,10.999999999999977,29,29,22,14,4,16,1.5226995944976807
5,control,10,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,7.599999999999989,29,29,19,12,3,17,1.5166082382202148
5,control,11,29,0,0.0,12,0,0.0,0,0,0.0,0.0,0.0,5.599999999999996,29,29,20,12,2,18,1.5137791633605957
5,control,12,29,0,0.0,11,0,0.0,0,0,0.0,0.0,0.0,11.499999999999975,29,29,21,11,4,19,1.503598928451538
5,control,13,29,0,0.0,12,3,0.25,0,0,0.0,0.0,0.0,7.499999999999989,29,29,25,13,3,17,1.4958863258361816
5,control,14,29,0,0.0,11,2,0.18181818181818182,0,0,0.0,0.0,0.0,5.399999999999997,29,29,16,12,2,18,1.5062334537506104
5,detection,0,29,29,1.0,25,1,0.04,29,293,0.1413793103449695,0.1413793103449695,12.100000000001799,0.0,29,29,29,25,0,4,4.201887607574463
5,detection,1,29,29,1.0,24,1,0.041666666666666664,29,291,0.13448275862086137,0.13448275862086137,12.100000000001799,0.0,29,29,28,24,0,5,4.203895092010498
5,detection,2,29,29,1.0,17,0,0.0,29,290,0.10689655172434159,0.10689655172434159,12.100000000001799,2.9000000000000012,29,29,27,17,2,12,4.121801137924194
5,detection,3,29,29,1.0,21,1,0.047619047619047616,29,291,0.0862068965518878,0.0862068965518878,12.100000000001799,3.3000000000000016,29,29,27,21,1,8,4.252591371536255
5,detection,4,29,29,1.0,20,1,0.05,29,291,0.10689655172426024,0.10689655172426024,12.100000000001799,0.0,29,29,29,20,0,9,4.185419321060181
5,detection,5,29,29,1.0,18,0,0.0,29,290,0.11034482758637214,0.11034482758637214,12.100000000001799,0.0,29,29,28,18,0,11,4.248801231384277
5,detection,6,29,29,1.0,22,2,0.09090909090909091,29,289,0.0965517241380265,0.0965517241380265,12.100000000001799,0.0,29,29,28,22,0,7,4.162387847900391
5,detection,7,29,29,1.0,20,0,0.0,29,290,0.12413793103464427,0.12413793103464427,12.100000000001799,0.0,29,29,28,20,0,9,4.156419038772583
5,detection,8,29,29,1.0,25,3,0.12,29,293,0.11379310344851735,0.11379310344851735,12.100000000001799,0.0,29,29,29,25,0,4,4.176696538925171
5,detection,9,29,29,1.0,19,0,0.0,29,289,0.15517241379323182,0.15517241379323182,12.100000000001799,0.0,29,29,27,19,0,10,4.147644519805908
5,detection,10,29,29,1.0,20,2,0.1,29,289,0.19310344827591774,0.19310344827591774,12.100000000001799,0.0,29,29,28,20,0,9,4.161121845245361
5,detection,11,29,29,1.0,20,0,0.0,29,288,0.12758620689657582,0.12758620689657582,12.100000000001799,0.0,29,29,26,20,0,9,4.115389585494995
5,detection,12,29,29,1.0,24,1,0.041666666666666664,29,290,0.21724137931062357,0.21724137931062357,12.100000000001799,0.0,29,29,27,24,0,5,4.196366548538208
5,detection,13,29,29,1.0,23,0,0.0,29,289,0.16896551724155787,0.16896551724155787,12.100000000001799,0.0,29,29,28,23,0,6,4.178525447845459
5,detection,14,29,29,1.0,18,1,0.05555555555555555,29,290,0.13793103448280566,0.13793103448280566,12.100000000001799,2.2000000000000006,29,29,27,18,1,11,4.149367332458496
5,aware,0,29,29,1.0,22,1,0.045454545454545456,29,293,0.1275862068966268,0.1275862068966268,12.100000000001799,0.0,29,29,28,22,0,7,4.205836057662964
5,aware,1,29,29,1.0,21,2,0.09523809523809523,29,292,0.13793103448286054,0.13793103448286054,12.100000000001799,0.0,29,29,29,21,0,8,4.222888469696045
5,aware,2,29,29,1.0,22,4,0.18181818181818182,29,292,0.16896551724151182,0.16896551724151182,12.100000000001799,2.2000000000000006,29,29,28,22,1,7,4.242090463638306
5,aware,3,29,29,1.0,25,0,0.0,29,294,0.13448275862086528,0.13448275862086528,12.100000000001799,0.0,29,29,27,25,0,4,4.174177169799805
5,aware,4,29,29,1.0,17,4,0.23529411764705882,29,293,0.06896551724136167,0.06896551724136167,12.100000000001799,0.0,29,29,28,17,0,12,4.32009744644165
